Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Дрип кофе Sibaristica Mega Drip Max, Эфиопия, Колумбия, Гватемала (Набор молотого кофе в дрип-пакетах) 48шт*10гр;1463825680;КА-00001524;https://www.ozon.ru/product/1463825680;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;5 277 073 ₽;-7%;3 207;192 ₽;1 645 ₽;0 ₽;10 из 28;187 444 ₽;114;FBO;28 ч;10,6;42,0%;53,0%;243 629;47 294;0,48%;8,95%;6,2%;97,8%;2024-03-11
Кофе в зернах DeLonghi AFRICANA SELECTION BLEND, 1кг;674770597;5513284951;https://www.ozon.ru/product/674770597;DeLonghi;Продукты питания;Кофе в зернах;Нет;5 183 105 ₽;-32%;2 805;1 ₽;1 848 ₽;0 ₽;15 из 28;91 152 ₽;50;FBO;43 ч;3,6;37,0%;44,0%;263 683;76 356;0,39%;6,38%;3,5%;95,5%;2022-08-16
Кофе в зернах 1 кг, Julius Meinl Эспрессо Вена, 100% арабика;1015909853;95330;https://www.ozon.ru/product/1015909853;Julius Meinl;Продукты питания;Кофе в зернах;Нет;5 175 124 ₽;-26%;3 001;129 ₽;1 724 ₽;0 ₽;8 из 28;183 833 ₽;107;FBO;30 ч;5,1;38,0%;47,0%;455 968;56 441;0,38%;10,58%;1,0%;95,6%;2023-06-05
Кофе растворимый Monarch Miligrano с молотым, 350 г;1482873263;4058112;https://www.ozon.ru/product/1482873263;Monarch;Продукты питания;Кофе растворимый;Нет;5 166 836 ₽;-49%;4 381;1 ₽;1 179 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,8;41,0%;52,0%;169 446;55 439;0,68%;9,91%;1,0%;0,0%;0001-01-01
Кофе растворимый нескафе классик 1000гр;1688770071;NSCF_clas1000;https://www.ozon.ru/product/1688770071;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;5 050 382 ₽;+6%;2 257;182 ₽;2 238 ₽;0 ₽;21 из 28;177 123 ₽;79;FBO;44 ч;4,5;36,0%;44,0%;122 405;27 170;0,86%;12,66%;0,5%;96,6%;2024-09-10
Кофе растворимый Monarch Turk Esinti (Турецкий Бриз) с молотой арабикой в банке , 90 г;1869606579;4024449;https://www.ozon.ru/product/1869606579;Monarch;Продукты питания;Кофе растворимый;Нет;5 003 223 ₽;-12%;17 992;0 ₽;278 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;53,0%;76,0%;931 524;230 002;1,19%;8,99%;0,0%;0,0%;0001-01-01
Кофе в капсулах набор Ristrello для кофемашины Nespresso Арабика Робуста разной степени обжарки 6 видов 60 капсул . Интенсивность от 4 до 10;384529308;НБК-6973925920348;https://www.ozon.ru/product/384529308;Ristrello;Продукты питания;Кофе в капсулах;Нет;4 970 513 ₽;-38%;3 945;68 ₽;1 260 ₽;2 347 106 ₽;27 из 28;261 975 ₽;207;FBO,FBS;73 ч;5,0;40,0%;51,0%;169 275;41 767;1,22%;13,50%;11,4%;95,5%;2021-11-12
Кофе в капсулах, Московская кофейня на паяхъ, Арабика, 50 шт;935350180;4601985009208;https://www.ozon.ru/product/935350180;Московская кофейня на паяхъ;Продукты питания;Кофе в капсулах;Нет;4 943 704 ₽;+14%;4 519;1 ₽;1 094 ₽;0 ₽;23 из 28;175 319 ₽;160;FBO;41 ч;7,8;44,0%;56,0%;360 544;36 393;0,53%;13,33%;6,9%;97,4%;2023-04-13
легинсы для похудения SOXY;2864813479;JS5D11;https://www.ozon.ru/product/2864813479;SOXY;Одежда;Легинсы;Нет;4 935 796 ₽;+27%;9 612;0 ₽;514 ₽;0 ₽;9 из 28;173 702 ₽;335;FBO;28 ч;1,2;58,0%;74,0%;1 019 747;251 262;0,18%;8,89%;4,9%;74,1%;2025-09-17
Кофе в зернах 1 кг, Julius Meinl Кафе Крема Интенсо;171471773;89535;https://www.ozon.ru/product/171471773;Julius Meinl;Продукты питания;Кофе в зернах;Нет;4 922 061 ₽;+17%;2 564;136 ₽;1 920 ₽;0 ₽;5 из 28;86 274 ₽;45;FBO;31 ч;3,7;36,0%;44,0%;283 014;34 524;0,66%;9,68%;0,6%;95,9%;2020-03-31
Кофе молотый BUSHIDO Sensei, 227 г;151792312;BU22712004;https://www.ozon.ru/product/151792312;BUSHIDO;Продукты питания;Кофе молотый;Нет;4 905 147 ₽;-28%;7 721;0 ₽;635 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,6;39,0%;50,0%;381 614;76 066;1,19%;10,60%;7,1%;0,0%;0001-01-01
Дрип кофе Sibaristica Yellow Submarine, Бразилия (Молотый кофе в дрип-пакетах) 24шт*10гр;865321516;К0000003564;https://www.ozon.ru/product/865321516;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;4 800 508 ₽;-23%;6 411;0 ₽;749 ₽;0 ₽;9 из 28;170 136 ₽;227;FBO;28 ч;4,0;43,0%;56,0%;315 189;76 224;0,88%;10,21%;7,5%;97,5%;2023-02-15
Кофе в зёрнах EGOISTE Truffle, арабика, 1 кг;250362177;EG10004024;https://www.ozon.ru/product/250362177;EGOISTE;Продукты питания;Кофе в зернах;Нет;4 717 754 ₽;-46%;1 963;0 ₽;2 403 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,8;36,0%;43,0%;177 635;13 971;0,71%;14,05%;2,3%;0,0%;0001-01-01
Кофе в зёрнах BUSHIDO Red Katana, арабика, 1 кг;155234859;BS010001;https://www.ozon.ru/product/155234859;BUSHIDO;Продукты питания;Кофе в зернах;Нет;4 716 430 ₽;-29%;1 852;654 ₽;2 547 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;36,0%;43,0%;148 577;29 588;0,62%;7,38%;2,3%;0,0%;0001-01-01
Дрип кофе Tasty Coffee Бэрри, 30 шт. по 11,5 г;1213213127;ДрипБэрри30;https://www.ozon.ru/product/1213213127;Tasty Coffee;Продукты питания;Кофе в дрип-пакетах;Нет;4 586 615 ₽;-4%;3 658;0 ₽;1 254 ₽;0 ₽;26 из 28;162 618 ₽;130;FBO;52 ч;5,2;40,0%;50,0%;250 547;41 133;0,92%;11,30%;13,6%;96,7%;2023-09-27
Кофе Mehmet Efendi натуральный молотый, 500 г;163432333;60105;https://www.ozon.ru/product/163432333;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;4 550 999 ₽;-17%;3 688;94 ₽;1 234 ₽;0 ₽;8 из 28;28 416 ₽;23;FBO;28 ч;2,9;38,0%;47,0%;59 024;9 750;3,62%;20,01%;0,0%;97,6%;2019-12-05
Кофе в зернах 1 кг, 100% АРАБИКА, свежая обжарка, для молочных напитков, для капучино , для латте Бразилия Латте;1602450996;INBRLATTE1000;https://www.ozon.ru/product/1602450996;initio de coffee;Продукты питания;Кофе в зернах;Нет;4 538 584 ₽;+111%;2 728;128 ₽;1 664 ₽;0 ₽;20 из 28;161 274 ₽;97;FBO;32 ч;4,7;37,0%;46,0%;348 023;51 947;0,33%;9,63%;4,1%;96,9%;2024-06-12
Кофе в зернах без кофеина Julius Meinl Декаф 500г;1078052227;95280;https://www.ozon.ru/product/1078052227;Julius Meinl;Продукты питания;Кофе в зернах;Нет;4 517 681 ₽;+23%;4 463;0 ₽;1 012 ₽;0 ₽;7 из 28;95 708 ₽;95;FBO;33 ч;2,1;39,0%;48,0%;289 396;63 389;1,17%;8,28%;1,6%;96,0%;2023-07-13
Кофе молотый Жокей Ирландские сливки, 150 г;34371171;0509-20-0, 0509-10, 0509-10;https://www.ozon.ru/product/34371171;Жокей;Продукты питания;Кофе молотый;Нет;4 496 721 ₽;-22%;16 240;0 ₽;277 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,2;52,0%;73,0%;485 639;84 074;1,59%;14,44%;6,5%;0,0%;0001-01-01
Свитер Dencop свитер;1146087948;Свитер голубой;https://www.ozon.ru/product/1146087948;Dencop;Одежда;Свитер;Нет;4 453 457 ₽;-55%;2 325;487 ₽;1 915 ₽;0 ₽;11 из 28;156 103 ₽;82;FBO;28 ч;3,4;47,0%;53,0%;549 902;441 324;0,15%;5,35%;1,2%;36,9%;2023-08-21
Кофе в капсулах L'OR Коллекция, набор для кофемашины Nespresso, арабика, 70 шт;160807699;160201;https://www.ozon.ru/product/160807699;L'OR;Продукты питания;Кофе в капсулах;Нет;4 442 546 ₽;-52%;2 105;1 ₽;2 110 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,5;37,0%;45,0%;187 756;34 441;0,41%;7,64%;5,8%;0,0%;0001-01-01
Кофе в зёрнах Jardin Cafe Eclair, арабика, 1 кг;185535040;1628-06-0, 1628-06-0;https://www.ozon.ru/product/185535040;Jardin;Продукты питания;Кофе в зернах;Нет;4 397 750 ₽;-27%;2 802;1 ₽;1 570 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,2;38,0%;47,0%;474 401;33 940;0,40%;9,64%;12,2%;0,0%;0001-01-01
Кардиган;3085744586;615;https://www.ozon.ru/product/3085744586;без бренда;Одежда;Кардиган;Нет;4 366 912 ₽;-25%;2 530;0 ₽;1 726 ₽;0 ₽;17 из 28;156 415 ₽;91;FBO;28 ч;6,3;51,0%;60,0%;778 850;174 298;0,16%;7,38%;4,9%;56,1%;2025-11-10
Кофе растворимый Monarch Original, 210 г;258846371;8052808;https://www.ozon.ru/product/258846371;Monarch;Продукты питания;Кофе растворимый;Нет;4 359 274 ₽;-44%;6 597;1 ₽;661 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,0;39,0%;49,0%;649 870;191 275;0,60%;6,46%;4,1%;0,0%;0001-01-01
Кофе растворимый Нескафе Классик Кремá, 190 г;711289810;12502988;https://www.ozon.ru/product/711289810;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;4 351 045 ₽;-7%;8 042;1 ₽;541 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,3;42,0%;55,0%;470 865;61 459;1,09%;14,27%;8,6%;0,0%;0001-01-01
Кофе в зернах Sibaristica Бразилия Yellow Submarine (100% Арабика Серрадо Минейро), 1 кг;871433644;К0000004402;https://www.ozon.ru/product/871433644;Sibaristica;Продукты питания;Кофе в зернах;Нет;4 291 978 ₽;-5%;2 151;175 ₽;1 995 ₽;0 ₽;11 из 28;151 574 ₽;76;FBO;28 ч;5,1;38,0%;46,0%;405 093;27 400;0,16%;9,05%;8,9%;96,5%;2023-02-21
Кофе растворимый Carte Noire Original, банка, 95 г;33871154;604350;https://www.ozon.ru/product/33871154;Carte Noire;Продукты питания;Кофе растворимый;Нет;4 194 947 ₽;-58%;7 620;0 ₽;551 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;37,0%;46,0%;512 089;103 203;0,91%;9,21%;4,2%;0,0%;0001-01-01
Кофе капсульный Coffesso Delicato Italiano Espresso, для системы Nespresso, 50 шт;167759565;100944;https://www.ozon.ru/product/167759565;Coffesso;Продукты питания;Кофе в капсулах;Нет;4 101 292 ₽;-40%;3 164;1 ₽;1 296 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,0;36,0%;44,0%;172 278;24 874;0,89%;12,57%;3,8%;0,0%;0001-01-01
Кофе в зернах 1 кг, Стрелка Кофе, Бразилия Сантос;380057851;Сантос_1кг;https://www.ozon.ru/product/380057851;Стрелка кофе;Продукты питания;Кофе в зернах;Нет;4 087 847 ₽;-8%;2 394;18 ₽;1 708 ₽;0 ₽;8 из 28;141 710 ₽;83;FBO;28 ч;5,6;39,0%;48,0%;202 419;22 847;0,33%;10,92%;3,4%;96,5%;2021-11-09
Комплект одежды INTBRAND костюм_вязанный;3143587035;костюм_коричневый;https://www.ozon.ru/product/3143587035;INTBRAND;Одежда;Комплект одежды;Нет;4 071 966 ₽;-9%;1 167;1 ₽;3 489 ₽;0 ₽;15 из 28;139 381 ₽;40;FBO,FBS;51 ч;14,0;50,0%;58,0%;758 659;86 174;0,04%;4,73%;0,4%;50,5%;2025-11-23
Кофе в зернах Italco Crema Italiano 1 кг;244466211;4650097784336;https://www.ozon.ru/product/244466211;Italco;Продукты питания;Кофе в зернах;Нет;4 051 036 ₽;+3%;2 726;1 ₽;1 486 ₽;0 ₽;7 из 28;100 814 ₽;68;FBO;31 ч;3,2;38,0%;47,0%;686 734;33 194;0,19%;11,58%;11,1%;95,2%;2021-03-23
Свитер Dencop;1237667510;Свитер с разрезами;https://www.ozon.ru/product/1237667510;Dencop;Одежда;Свитер;Нет;4 028 978 ₽;-50%;2 401;0 ₽;1 678 ₽;0 ₽;7 из 28;139 470 ₽;83;FBO;28 ч;4,8;47,0%;54,0%;630 595;431 739;0,11%;4,28%;1,8%;37,0%;2023-10-12
Кофе молотый 500 г, Julius Meinl Prasident;2430898910;98735;https://www.ozon.ru/product/2430898910;Julius Meinl;Продукты питания;Кофе молотый;Нет;4 021 205 ₽;-48%;4 839;0 ₽;831 ₽;0 ₽;17 из 28;61 379 ₽;74;FBO;50 ч;1,8;39,0%;49,0%;304 242;51 055;0,96%;11,61%;0,8%;94,8%;2025-07-08
Кофе в зернах 1 кг, Робуста 100%, Итальянская обжарка, BELLO COFFEE ITALY ESPRESSO GUSTO;2007078026;BC-GUSTO-1000;https://www.ozon.ru/product/2007078026;BELLO COFFEE;Продукты питания;Кофе в зернах;Нет;4 015 772 ₽;+73%;3 030;0 ₽;1 325 ₽;0 ₽;9 из 28;139 727 ₽;105;FBO;29 ч;2,4;38,0%;48,0%;311 929;53 518;0,49%;12,88%;5,4%;97,2%;2025-04-07
легинсы для похудения SOXY;2864813884;JS5D12;https://www.ozon.ru/product/2864813884;SOXY;Одежда;Легинсы;Нет;3 985 701 ₽;+31%;7 817;0 ₽;510 ₽;0 ₽;13 из 28;139 769 ₽;272;FBO;31 ч;1,6;58,0%;74,0%;295 700;101 053;0,34%;19,93%;0,9%;77,5%;2025-09-17
Кофе под молоко в зернах Sibaristica Black'n'Milk (Бразилия и Уганда), 100% Арабика, средняя обжарка, 1 кг;1716980499;КА-00002081;https://www.ozon.ru/product/1716980499;Sibaristica;Продукты питания;Кофе в зернах;Нет;3 908 377 ₽;-1%;2 206;0 ₽;1 772 ₽;0 ₽;11 из 28;138 605 ₽;78;FBO;28 ч;3,8;37,0%;45,0%;299 957;32 568;0,18%;9,84%;6,4%;96,7%;2024-10-07
Кофе в зернах 1 кг, Julius Meinl Юбилейный;192419198;94478;https://www.ozon.ru/product/192419198;Julius Meinl;Продукты питания;Кофе в зернах;Нет;3 895 326 ₽;+8%;2 000;176 ₽;1 948 ₽;0 ₽;7 из 28;80 761 ₽;42;FBO;28 ч;5,3;37,0%;46,0%;306 419;34 678;0,41%;9,04%;1,0%;93,6%;2020-09-04
Кофе растворимый BUSHIDO Kodo, с молотым, 95 г;139519966;5060367340176;https://www.ozon.ru/product/139519966;BUSHIDO;Продукты питания;Кофе молотый в растворимом;Нет;3 871 236 ₽;-43%;4 552;1 ₽;850 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;38,0%;48,0%;300 914;36 870;0,86%;14,10%;5,6%;0,0%;0001-01-01
Кофе в зернах Lavazza Crema e Aroma 1 кг;1839265698;FMN Crema 1 кг;https://www.ozon.ru/product/1839265698;Lavazza;Продукты питания;Кофе в зернах;Нет;3 869 043 ₽;+50%;2 393;0 ₽;1 617 ₽;0 ₽;20 из 28;136 753 ₽;85;FBO,FBS;37 ч;4,9;38,0%;47,0%;196 777;20 251;0,69%;14,02%;3,6%;95,6%;2025-01-19
Брюки прямые LAINA женские зимние;190791913;LAINA-15-04-черный-48;https://www.ozon.ru/product/190791913;LAINA;Одежда;Брюки;Нет;3 854 843 ₽;+81%;2 059;911 ₽;1 872 ₽;0 ₽;16 из 28;132 301 ₽;70;FBO;48 ч;11,3;59,0%;74,0%;402 251;81 262;0,03%;7,30%;2,3%;45,7%;2020-08-28
Кофе в зернах Tasty Coffee Бэрри, 1 кг;332394347;2ЭС020;https://www.ozon.ru/product/332394347;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;3 845 471 ₽;+1%;1 705;1 ₽;2 255 ₽;0 ₽;26 из 28;136 271 ₽;60;FBO;46 ч;6,8;37,0%;44,0%;162 391;39 327;0,64%;6,47%;8,9%;95,1%;2021-09-27
Кофе растворимый EGOISTE Noir, 100 г;34362278;4009041102243;https://www.ozon.ru/product/34362278;EGOISTE;Продукты питания;Кофе растворимый;Нет;3 834 830 ₽;-55%;6 054;0 ₽;633 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;39,0%;49,0%;299 166;60 429;1,30%;11,80%;0,0%;0,0%;0001-01-01
Кофе растворимый Индия, сублимированный, 500грамм пакет;1480600255;005;https://www.ozon.ru/product/1480600255;ORANGE PRODUKTORIUM;Продукты питания;Кофе растворимый;Нет;3 827 222 ₽;+31%;5 015;1 ₽;763 ₽;0 ₽;10 из 28;135 501 ₽;178;FBO;30 ч;3,0;42,0%;54,0%;250 666;78 395;0,51%;11,67%;0,0%;97,8%;2024-03-18
Брюки прямые LAINA женские зимние;190791914;LAINA-15-04-черный-46;https://www.ozon.ru/product/190791914;LAINA;Одежда;Брюки;Нет;3 798 460 ₽;+33%;1 997;302 ₽;1 902 ₽;0 ₽;19 из 28;132 883 ₽;70;FBO;41 ч;6,5;54,0%;65,0%;72 418;34 677;0,22%;15,72%;0,0%;53,2%;2020-08-28
Кофе в зернах 1 кг, арабика 100%, Эфиопия Сидамо, Premium, ZAMBEZI;1472007156;кЭС1000;https://www.ozon.ru/product/1472007156;ZAMBEZI;Продукты питания;Кофе в зернах;Нет;3 796 100 ₽;-26%;2 669;0 ₽;1 422 ₽;0 ₽;9 из 28;135 132 ₽;95;FBO;29 ч;2,9;37,0%;45,0%;228 542;57 233;0,22%;14,30%;8,1%;98,0%;2024-03-14
Кофе в зернах DeLonghi MILD SELECTION BLEND, 1кг;578239649;5513284911;https://www.ozon.ru/product/578239649;DeLonghi;Продукты питания;Кофе в зернах;Нет;3 779 074 ₽;-8%;2 014;1 ₽;1 876 ₽;0 ₽;16 из 28;64 405 ₽;35;FBO;40 ч;3,2;37,0%;44,0%;159 192;61 878;0,44%;5,01%;4,6%;96,3%;2022-05-05
